fecha,Dolares_de_Estados_Unidos,Yenes_japoneses,Francos_suizos,Libras_esterlinas,Coronas_suecas,Coronas_danesas,Coronas_noruegas,Dólares_canadienses,Dolares_australianos,Dolares_neozelandeses,SDR
ENE 2016,1.08597,128.324,1.09409,0.75459,9.28264,7.46191,9.58992,1.54472,1.55097,1.66544,0.78574
FEB 2016,1.10930,127.346,1.10180,0.77559,9.41046,7.46278,9.56282,1.53169,1.55557,1.67320,0.79597
MAR 2016,1.10997,125.385,1.09198,0.78020,9.28477,7.45690,9.43003,1.46970,1.48230,1.64809,0.79567
ABR 2016,1.13392,124.287,1.09297,0.79230,9.20268,7.44275,9.32237,1.45594,1.48022,1.64582,0.80488
MAY 2016,1.13111,123.214,1.10586,0.77779,9.29483,7.43864,9.30357,1.46256,1.54605,1.66277,0.80204
JUN 2016,1.12289,118.453,1.08935,0.79049,9.33375,7.43706,9.32778,1.44770,1.51725,1.59553,0.79771
JUL 2016,1.10685,115.250,1.08666,0.84106,9.47423,7.43902,9.36898,1.44283,1.46938,1.55138,0.79593
AGO 2016,1.12117,113.487,1.08811,0.85521,9.49129,7.44080,9.30299,1.45574,1.46902,1.54908,0.80125
SEP 2016,1.12121,114.218,1.09187,0.85228,9.56547,7.44745,9.19708,1.46772,1.47677,1.53281,0.80161
OCT 2016,1.10260,114.473,1.08867,0.89390,9.70734,7.44023,9.00092,1.45939,1.44699,1.54086,0.79852
